ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
R001,3,5,5,3,5,3,4,4,4,5,4,5,3,4,5
R002,1,5,5,4,5,5,1,5,3,4,5,3,3,5,5
R003,4,5,3,3,4,4,4,4,3,3,1,4,2,5,4
R004,3,2,3,2,1,3,3,1,3,3,3,2,3,1,2
R005,4,5,3,3,4,3,4,4,1,2,4,3,3,4,1
R006,3,2,2,4,3,2,4,3,2,3,1,2,2,2,4
R007,2,4,2,2,2,3,2,4,4,1,2,2,2,4,3
R008,2,4,5,2,4,5,3,5,5,4,5,5,4,5,5
R009,4,5,5,2,5,4,5,4,5,3,4,5,4,5,5
R010,3,3,4,4,5,3,4,4,4,5,3,5,5,4,4
R011,5,2,2,4,2,1,3,3,1,5,1,3,3,3,3
R012,5,5,4,4,3,5,5,4,3,5,4,4,5,1,3
R013,5,3,5,5,3,5,4,5,5,5,2,5,4,3,2
R014,3,1,5,3,1,5,4,1,5,3,1,5,3,1,5
R015,4,2,3,4,1,5,5,1,4,4,1,3,4,3,5
R016,1,2,2,2,5,2,3,3,1,2,5,3,4,3,4
R017,1,1,4,1,3,1,1,3,1,1,2,2,2,3,1
R018,3,2,4,4,1,3,3,2,5,2,3,3,2,4,5
R019,5,4,3,5,4,4,5,4,4,5,3,3,5,5,2
R020,5,5,5,5,4,4,5,3,5,4,5,4,5,2,4
R021,1,1,3,1,3,1,2,1,1,2,2,2,1,1,3
R022,3,2,1,3,1,3,2,2,2,4,2,1,3,1,1
R023,5,3,5,4,1,5,5,2,4,4,3,5,5,5,4
R024,5,1,2,5,4,4,5,2,4,5,5,3,5,4,3
R025,3,1,3,2,2,2,3,1,3,1,2,4,2,4,3
R026,5,3,1,5,4,2,5,4,1,3,1,2,5,3,2
R027,1,3,4,2,2,3,3,4,3,1,2,3,3,3,4
R028,3,3,1,3,3,2,2,3,4,3,4,1,1,5,3
R029,4,4,3,4,4,4,4,4,1,3,3,3,3,4,4
R030,5,4,3,5,5,1,5,2,1,5,1,3,5,5,4
R031,2,4,4,5,2,3,3,5,4,3,3,5,3,1,4
R032,3,4,2,3,2,3,4,3,3,4,3,3,3,4,4
R033,4,3,4,3,3,4,4,1,2,3,3,5,4,3,3
R034,3,4,2,3,2,1,3,1,4,2,2,2,2,4,1
R035,4,5,4,3,5,2,1,5,2,4,5,4,5,5,2
R036,1,2,1,2,2,2,2,3,2,2,3,1,2,2,4
R037,1,2,1,1,3,1,4,2,3,1,2,3,1,4,1
R038,3,5,3,2,5,3,2,4,3,5,5,3,5,5,4
R039,1,1,2,1,1,2,1,1,4,1,2,2,4,2,3
R040,2,3,2,3,2,2,2,3,3,3,1,3,2,3,2
R041,4,4,4,3,4,4,3,2,3,4,1,3,4,4,3
R042,2,2,2,1,3,4,2,4,3,2,2,1,2,3,2
R043,3,3,2,3,2,2,3,4,2,1,2,3,3,4,4
R044,5,4,4,4,4,3,4,5,3,4,5,4,3,2,3
R045,3,1,3,5,3,4,3,2,5,5,3,5,5,5,5
R046,2,2,3,3,1,3,4,3,3,3,3,1,4,3,3
R047,4,2,4,3,3,2,2,2,4,5,3,3,3,4,4
R048,3,5,4,3,3,3,3,3,3,4,5,4,4,5,2
R049,3,2,5,4,4,4,3,4,5,1,3,2,3,3,3
R050,5,3,5,4,1,3,3,3,3,4,2,3,4,1,4
R051,4,2,3,3,5,3,2,5,3,3,5,1,2,2,2
R052,3,5,5,3,3,5,3,5,5,4,5,5,4,3,5
R053,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1
R054,2,1,2,2,3,2,3,3,3,2,3,3,1,4,1
R055,4,3,2,3,5,1,4,2,1,2,3,1,5,3,1
R056,3,4,5,2,4,4,4,4,3,1,5,4,4,3,4
R057,5,4,1,4,3,1,4,4,2,3,3,4,5,3,3
R058,1,5,3,4,4,4,4,4,1,3,3,4,3,3,3
R059,5,5,3,2,5,4,3,5,2,5,4,2,3,5,3
R060,5,3,4,5,4,4,5,5,4,5,4,4,4,4,3
R061,2,2,3,1,3,4,1,1,3,2,1,3,1,1,3
R062,5,2,2,4,3,4,2,3,1,4,3,3,5,2,2
R063,4,4,3,3,3,3,3,5,3,5,5,4,4,4,5
R064,3,1,5,4,4,4,4,2,4,2,2,2,3,4,3
R065,1,3,3,2,4,2,1,2,4,2,1,2,1,2,1
R066,4,5,1,1,5,2,3,5,3,5,5,3,2,5,1
R067,3,4,2,3,4,3,3,4,1,3,3,2,3,1,2
R068,2,5,4,3,4,3,1,3,2,5,5,1,2,3,3
R069,2,3,3,2,3,1,3,5,3,2,3,3,3,4,3
R070,4,5,3,4,4,5,4,4,5,4,4,5,3,4,4
R071,5,2,2,4,2,4,1,1,3,3,1,3,5,1,2
R072,2,4,3,2,3,5,2,2,5,4,5,4,2,2,3
R073,4,3,5,5,3,4,5,4,5,5,3,4,4,2,5
R074,4,1,2,3,2,2,4,3,3,3,3,2,1,1,3
R075,1,3,2,1,2,2,1,4,2,3,2,3,2,3,1
R076,2,4,4,3,3,3,3,3,3,2,4,4,3,3,3
R077,2,3,2,4,4,4,4,4,1,4,4,3,4,4,2
R078,2,5,5,4,5,4,3,2,3,2,3,4,2,2,5
R079,5,3,4,4,3,5,5,3,3,4,3,2,5,4,3
R080,4,5,5,5,3,5,3,3,3,5,5,5,2,4,5
R081,5,2,4,4,4,3,3,4,2,4,3,3,4,4,3
R082,3,4,4,2,3,4,2,4,2,2,4,3,2,4,4
R083,3,1,5,1,2,5,1,1,3,1,2,2,3,2,3
R084,2,3,4,1,4,2,4,3,5,3,5,3,2,5,3
R085,1,4,3,2,5,3,1,4,3,2,4,5,2,4,3
R086,3,3,5,1,5,3,1,3,5,4,2,4,2,2,5
R087,1,3,2,1,3,1,1,3,1,3,2,1,1,3,1
R088,1,1,1,1,1,1,1,3,1,3,1,1,1,3,1
R089,1,4,3,1,4,3,1,3,3,1,4,4,1,2,3
R090,3,2,4,3,1,3,3,1,3,2,2,4,2,3,5
R091,2,1,3,2,1,4,3,1,2,2,3,1,2,2,1
R092,4,5,4,4,2,5,4,3,5,5,3,5,4,1,5
R093,2,3,3,3,1,2,5,1,4,3,1,4,4,1,2
R094,4,3,1,4,3,2,3,4,1,5,4,2,4,4,2
R095,3,5,5,2,3,3,4,4,5,3,4,2,3,3,5
R096,2,1,4,2,3,3,1,1,5,4,3,5,2,5,5
R097,3,3,3,3,4,1,2,2,1,2,3,2,4,2,2
R098,1,3,4,2,5,3,3,3,3,1,2,3,3,3,3
R099,1,1,1,1,1,2,1,1,1,1,2,2,1,3,2
R100,5,4,3,5,3,5,3,3,4,5,3,4,4,5,3
