Student_ID,Attendance_pct,Internal_Marks,Assignment_Marks,Study_Hours_per_Week,Result
S033,66.8,56.4,58.3,4.8,Pass
S139,72.0,50.7,65.9,4.5,Pass
S283,93.7,67.4,72.6,5.1,Pass
S140,67.0,56.4,61.9,4.7,Fail
S087,84.2,74.9,78.8,6.3,Pass
S227,89.9,74.6,80.3,7.3,Pass
S012,78.5,46.5,69.1,3.4,Fail
S215,61.7,67.6,68.9,7.5,Pass
S100,63.9,64.0,70.5,6.9,Pass
S056,67.9,45.3,52.1,2.4,Fail
S217,80.9,63.6,58.2,2.8,Pass
S186,77.1,60.6,64.8,3.3,Pass
S164,100.0,44.5,69.7,2.9,Fail
S131,94.1,53.9,72.7,4.4,Pass
S080,83.6,58.2,60.7,5.9,Fail
S296,84.1,78.9,82.8,6.7,Pass
S276,84.8,65.2,59.6,3.7,Fail
S226,84.0,63.4,68.2,5.2,Pass
S201,81.7,60.1,74.1,6.4,Pass
S245,87.1,63.5,68.5,6.0,Pass
S001,74.5,57.2,74.2,3.6,Fail
S302,72.5,49.6,61.5,4.6,Pass
S319,70.0,59.9,80.4,6.5,Pass
S266,88.8,66.0,85.7,8.5,Pass
S287,80.2,69.3,77.7,8.2,Pass
S316,85.8,62.3,63.5,5.4,Pass
S009,80.7,63.5,71.2,6.0,Pass
S138,60.0,62.1,61.8,3.0,Fail
S183,87.0,82.1,60.8,5.7,Pass
S199,74.6,49.5,75.1,5.4,Fail
S049,82.1,64.9,69.2,7.8,Pass
S044,87.6,79.9,51.2,5.1,Pass
S189,92.0,73.8,64.9,5.7,Pass
S312,100.0,78.5,65.6,7.6,Pass
S026,86.4,74.6,66.9,7.5,Pass
S058,85.1,58.6,59.8,2.2,Pass
S035,78.5,69.4,60.3,4.2,Fail
S072,96.2,51.3,60.7,1.8,Pass
S119,82.5,62.9,69.2,4.7,Pass
S231,68.8,60.0,50.6,4.7,Fail
S310,73.8,58.1,70.9,5.3,Pass
S036,77.7,57.6,68.1,4.9,Pass
S112,77.2,44.4,60.3,3.5,Fail
S168,73.3,71.1,67.7,6.2,Pass
S222,82.6,68.4,66.1,5.0,Pass
S271,82.2,80.7,64.1,8.5,Pass
S133,78.4,52.0,68.9,2.8,Fail
S268,80.9,55.8,67.2,5.9,Pass
S161,75.4,65.9,64.5,5.6,Pass
S228,80.2,62.6,81.6,6.6,Pass
S249,69.2,63.1,51.9,2.9,Pass
S251,75.5,68.6,68.5,5.7,Pass
S181,65.7,65.6,69.8,6.5,Fail
S190,65.3,55.6,61.0,4.6,Pass
S313,72.0,67.9,65.0,6.7,Pass
S043,90.5,67.8,63.2,4.4,Pass
S193,92.1,82.1,67.1,6.9,Pass
