fiscal_year,nominal_gdp_million_npr
1990/91,120370.3
1991/92,149487.1
1992/93,171473.9
1993/94,199272.0
1994/95,219175.0
1995/96,248913.0
1996/97,280513.0
1997/98,300845.0
1998/99,342036.0
1999/00,379488.0
2000/01,379488.0
2001/02,411275.0
2002/03,422807.4
2003/04,496744.5
2004/05,533538.1
2005/06,582947.6
2006/07,727827.0
2007/08,815658.2
2008/09,988272.0
2009/10,1192774.0
2010/11,1366953.0
2011/12,1527344.0
2012/13,1695011.0
2013/14,1964540.0
2014/15,2120470.0
2015/16,2253200.0
2016/17,2674500.0
2017/18,3044900.0
2018/19,3458800.0
2019/20,3767000.0
2020/21,4266000.0
2021/22,4855000.0
2022/23,5172000.0
2023/24,5645000.0
2024/25,5924000.0
